x;y
9.900000e+001;6.647000e+003
1.001085e+002;6.730954e+003
1.012169e+002;7.016674e+003
1.023254e+002;7.097349e+003
1.034338e+002;7.100389e+003
1.045423e+002;7.306487e+003
1.056507e+002;7.437753e+003
1.067592e+002;7.485848e+003
1.078676e+002;7.545601e+003
1.089761e+002;7.490378e+003
1.100845e+002;7.368419e+003
1.111930e+002;7.407101e+003
1.123015e+002;7.437001e+003
1.134099e+002;7.471864e+003
1.145184e+002;7.611060e+003
1.156268e+002;7.769535e+003
1.167353e+002;7.974900e+003
1.178437e+002;8.476509e+003
1.189522e+002;8.784852e+003
1.200606e+002;9.095335e+003
1.211691e+002;9.642365e+003
1.222775e+002;1.043940e+004
1.233860e+002;1.075102e+004
1.244945e+002;1.203146e+004
1.256029e+002;1.291443e+004
1.267114e+002;1.287452e+004
1.278198e+002;1.248563e+004
1.289283e+002;1.192382e+004
1.300367e+002;1.083276e+004
1.311452e+002;1.048701e+004
1.322536e+002;9.933308e+003
1.333621e+002;9.247096e+003
1.344706e+002;8.925309e+003
1.355790e+002;8.943748e+003
1.366875e+002;9.046504e+003
1.377959e+002;9.206714e+003
1.389044e+002;9.296158e+003
1.400128e+002;9.491354e+003
1.411213e+002;9.793695e+003
1.422297e+002;1.002059e+004
1.433382e+002;1.030271e+004
1.444467e+002;1.054429e+004
1.455551e+002;1.061406e+004
1.466636e+002;1.061087e+004
1.477720e+002;1.073686e+004
1.488805e+002;1.105482e+004
1.499889e+002;1.157339e+004
1.510974e+002;1.194193e+004
1.522058e+002;1.196962e+004
1.533143e+002;1.182787e+004
1.544227e+002;1.159189e+004
1.555312e+002;1.135327e+004
1.566396e+002;1.104756e+004
1.577481e+002;1.060726e+004
1.588566e+002;1.029113e+004
1.599650e+002;1.008400e+004
1.610735e+002;1.004626e+004
1.621819e+002;1.012357e+004
1.632904e+002;1.006697e+004
1.643988e+002;1.006672e+004
1.655073e+002;1.041471e+004
1.666157e+002;1.077241e+004
1.677242e+002;1.113007e+004
1.688327e+002;1.128264e+004
1.699411e+002;1.123015e+004
1.710496e+002;1.099520e+004
1.721580e+002;1.096636e+004
1.732665e+002;1.112814e+004
1.743749e+002;1.147667e+004
1.754834e+002;1.180759e+004
1.765918e+002;1.213642e+004
1.777003e+002;1.239895e+004
1.788087e+002;1.250953e+004
1.799172e+002;1.238688e+004
1.810257e+002;1.250935e+004
1.821341e+002;1.236490e+004
1.832426e+002;1.201475e+004
1.843510e+002;1.185524e+004
1.854595e+002;1.187244e+004
1.865679e+002;1.184258e+004
1.876764e+002;1.166631e+004
1.887848e+002;1.149515e+004
1.898933e+002;1.156638e+004
1.910018e+002;1.181698e+004
1.921102e+002;1.217478e+004
1.932187e+002;1.216581e+004
1.943271e+002;1.228098e+004
1.954356e+002;1.261336e+004
1.965440e+002;1.273965e+004
1.976525e+002;1.285430e+004
1.987609e+002;1.306803e+004
1.998694e+002;1.334910e+004
2.009778e+002;1.340031e+004
2.020863e+002;1.310325e+004
